"","samples","group","cell type","cellular proportions"
"169","MSSM_RNA_PFC_129","Control","Astro",0.148904933039393
"170","MSSM_RNA_PFC_129","Control","Exc",0.529794324547952
"171","MSSM_RNA_PFC_129","Control","Inh",0.120667479608642
"172","MSSM_RNA_PFC_129","Control","Micro",0.0310313386517145
"173","MSSM_RNA_PFC_129","Control","Oligo",0.125730046908504
"174","MSSM_RNA_PFC_129","Control","OPC",0.0438718772437943
"175","MSSM_RNA_PFC_13","SCZ","Astro",0.134487347628487
"176","MSSM_RNA_PFC_13","SCZ","Exc",0.616366679884122
"177","MSSM_RNA_PFC_13","SCZ","Inh",0.0822209256758613
"178","MSSM_RNA_PFC_13","SCZ","Micro",0.0165503231954912
"179","MSSM_RNA_PFC_13","SCZ","Oligo",0.105391360030774
"180","MSSM_RNA_PFC_13","SCZ","OPC",0.0449833635852652
"181","MSSM_RNA_PFC_130","Control","Astro",0.115601996729393
"182","MSSM_RNA_PFC_130","Control","Exc",0.626850355392036
"183","MSSM_RNA_PFC_130","Control","Inh",0.126529470542605
"184","MSSM_RNA_PFC_130","Control","Micro",0.0226765438518577
"185","MSSM_RNA_PFC_130","Control","Oligo",0.0805229887596557
"186","MSSM_RNA_PFC_130","Control","OPC",0.0278186447244523
"187","MSSM_RNA_PFC_131","Control","Astro",0.145626731126758
"188","MSSM_RNA_PFC_131","Control","Exc",0.605385801294139
"189","MSSM_RNA_PFC_131","Control","Inh",0.125296234394839
"190","MSSM_RNA_PFC_131","Control","Micro",0.0228024039615066
"191","MSSM_RNA_PFC_131","Control","Oligo",0.0649056727651146
"192","MSSM_RNA_PFC_131","Control","OPC",0.0359831564576433
"193","MSSM_RNA_PFC_132","SCZ","Astro",0.137477206302602
"194","MSSM_RNA_PFC_132","SCZ","Exc",0.561244245522106
"195","MSSM_RNA_PFC_132","SCZ","Inh",0.0984385050584923
"196","MSSM_RNA_PFC_132","SCZ","Micro",0.0320627549178872
"197","MSSM_RNA_PFC_132","SCZ","Oligo",0.128168727768185
"198","MSSM_RNA_PFC_132","SCZ","OPC",0.0426085604307272
"199","MSSM_RNA_PFC_134","Control","Astro",0.110456121920909
"200","MSSM_RNA_PFC_134","Control","Exc",0.692856293801132
"201","MSSM_RNA_PFC_134","Control","Inh",0.0858281023567183
"202","MSSM_RNA_PFC_134","Control","Micro",0.0364301596121787
"203","MSSM_RNA_PFC_134","Control","Oligo",0.0506016047235167
"204","MSSM_RNA_PFC_134","Control","OPC",0.0238277175855454
"205","MSSM_RNA_PFC_135","Control","Astro",0.14810854943134
"206","MSSM_RNA_PFC_135","Control","Exc",0.606124316206517
"207","MSSM_RNA_PFC_135","Control","Inh",0.11043947709627
"208","MSSM_RNA_PFC_135","Control","Micro",0.0187140651083703
"209","MSSM_RNA_PFC_135","Control","Oligo",0.0740696561726276
"210","MSSM_RNA_PFC_135","Control","OPC",0.0425439359848755
"211","MSSM_RNA_PFC_136","Control","Astro",0.132446091239641
"212","MSSM_RNA_PFC_136","Control","Exc",0.60816999827266
"213","MSSM_RNA_PFC_136","Control","Inh",0.106161745598306
"214","MSSM_RNA_PFC_136","Control","Micro",0.0255849046290168
"215","MSSM_RNA_PFC_136","Control","Oligo",0.0905333083024405
"216","MSSM_RNA_PFC_136","Control","OPC",0.0371039519579357
"217","MSSM_RNA_PFC_137","Control","Astro",0.144083056934637
"218","MSSM_RNA_PFC_137","Control","Exc",0.61592570941872
"219","MSSM_RNA_PFC_137","Control","Inh",0.117579370054838
"220","MSSM_RNA_PFC_137","Control","Micro",0.0224827253655674
"221","MSSM_RNA_PFC_137","Control","Oligo",0.0512478275627507
"222","MSSM_RNA_PFC_137","Control","OPC",0.0486813106634868
"223","MSSM_RNA_PFC_140","Control","Astro",0.143987373884988
"224","MSSM_RNA_PFC_140","Control","Exc",0.566418108021531
"225","MSSM_RNA_PFC_140","Control","Inh",0.119263510477399
"226","MSSM_RNA_PFC_140","Control","Micro",0.0552109552086232
"227","MSSM_RNA_PFC_140","Control","Oligo",0.0674623427956638
"228","MSSM_RNA_PFC_140","Control","OPC",0.0476577096117955
"229","MSSM_RNA_PFC_141","Control","Astro",0.14680350906543
"230","MSSM_RNA_PFC_141","Control","Exc",0.630906338254062
"231","MSSM_RNA_PFC_141","Control","Inh",0.132766273707136
"232","MSSM_RNA_PFC_141","Control","Micro",0.00522011313356026
"233","MSSM_RNA_PFC_141","Control","Oligo",0.0251854602790703
"234","MSSM_RNA_PFC_141","Control","OPC",0.0591183055607408
"235","MSSM_RNA_PFC_142","Control","Astro",0.138865859501886
"236","MSSM_RNA_PFC_142","Control","Exc",0.560142699645044
"237","MSSM_RNA_PFC_142","Control","Inh",0.108835703725435
"238","MSSM_RNA_PFC_142","Control","Micro",0.0284118443914802
"239","MSSM_RNA_PFC_142","Control","Oligo",0.118801020699895
"240","MSSM_RNA_PFC_142","Control","OPC",0.0449428720362604
"241","MSSM_RNA_PFC_143","Control","Astro",0.129289325424052
"242","MSSM_RNA_PFC_143","Control","Exc",0.544303252011842
"243","MSSM_RNA_PFC_143","Control","Inh",0.0897021174903229
"244","MSSM_RNA_PFC_143","Control","Micro",0.0187292729928251
"245","MSSM_RNA_PFC_143","Control","Oligo",0.164370515092875
"246","MSSM_RNA_PFC_143","Control","OPC",0.0536055169880841
"247","MSSM_RNA_PFC_144","Control","Astro",0.0893373161771673
"248","MSSM_RNA_PFC_144","Control","Exc",0.701679042479013
"249","MSSM_RNA_PFC_144","Control","Inh",0.103641742380642
"250","MSSM_RNA_PFC_144","Control","Micro",0.0161846251933131
"251","MSSM_RNA_PFC_144","Control","Oligo",0.0633677228454945
"252","MSSM_RNA_PFC_144","Control","OPC",0.0257895509243703
"253","MSSM_RNA_PFC_145","Control","Astro",0.0850270875913203
"254","MSSM_RNA_PFC_145","Control","Exc",0.727361500061853
"255","MSSM_RNA_PFC_145","Control","Inh",0.0909597740000911
"256","MSSM_RNA_PFC_145","Control","Micro",0.0137029831348723
"257","MSSM_RNA_PFC_145","Control","Oligo",0.05802707781188
"258","MSSM_RNA_PFC_145","Control","OPC",0.0249215773999838
"259","MSSM_RNA_PFC_146","Control","Astro",0.144791415461808
"260","MSSM_RNA_PFC_146","Control","Exc",0.617342167808494
"261","MSSM_RNA_PFC_146","Control","Inh",0.115358311169379
"262","MSSM_RNA_PFC_146","Control","Micro",0.0211470064013743
"263","MSSM_RNA_PFC_146","Control","Oligo",0.0639102818959981
"264","MSSM_RNA_PFC_146","Control","OPC",0.0374508172629467
"265","MSSM_RNA_PFC_147","Control","Astro",0.112948765987777
"266","MSSM_RNA_PFC_147","Control","Exc",0.622088497361066
"267","MSSM_RNA_PFC_147","Control","Inh",0.109502207703957
"268","MSSM_RNA_PFC_147","Control","Micro",0.0277155487803257
"269","MSSM_RNA_PFC_147","Control","Oligo",0.0869755001330814
"270","MSSM_RNA_PFC_147","Control","OPC",0.0407694800337924
"271","MSSM_RNA_PFC_148","Control","Astro",0.119278977656497
"272","MSSM_RNA_PFC_148","Control","Exc",0.616061411753752
"273","MSSM_RNA_PFC_148","Control","Inh",0.122361439577949
"274","MSSM_RNA_PFC_148","Control","Micro",0.0334635520527469
"275","MSSM_RNA_PFC_148","Control","Oligo",0.0753746964160925
"276","MSSM_RNA_PFC_148","Control","OPC",0.033459922542963
"277","MSSM_RNA_PFC_149","Control","Astro",0.119601920790071
"278","MSSM_RNA_PFC_149","Control","Exc",0.599319697405173
"279","MSSM_RNA_PFC_149","Control","Inh",0.0887374183429998
"280","MSSM_RNA_PFC_149","Control","Micro",0.0163994505477621
"281","MSSM_RNA_PFC_149","Control","Oligo",0.140721630720165
"282","MSSM_RNA_PFC_149","Control","OPC",0.0352198821938297
"283","MSSM_RNA_PFC_15","Control","Astro",0.120574865261576
"284","MSSM_RNA_PFC_15","Control","Exc",0.603026211961136
"285","MSSM_RNA_PFC_15","Control","Inh",0.10682804814216
"286","MSSM_RNA_PFC_15","Control","Micro",0.0334596250190735
"287","MSSM_RNA_PFC_15","Control","Oligo",0.0997729069256598
"288","MSSM_RNA_PFC_15","Control","OPC",0.0363383426903941
"289","MSSM_RNA_PFC_151","Control","Astro",0.130837738333622
"290","MSSM_RNA_PFC_151","Control","Exc",0.608881369229041
"291","MSSM_RNA_PFC_151","Control","Inh",0.121766120554724
"292","MSSM_RNA_PFC_151","Control","Micro",0.0225035603240849
"293","MSSM_RNA_PFC_151","Control","Oligo",0.0813756005453227
"294","MSSM_RNA_PFC_151","Control","OPC",0.0346356110132058
"295","MSSM_RNA_PFC_152","Control","Astro",0.143832931509949
"296","MSSM_RNA_PFC_152","Control","Exc",0.589343010187238
"297","MSSM_RNA_PFC_152","Control","Inh",0.159138854879443
"298","MSSM_RNA_PFC_152","Control","Micro",0.017159144413649
"299","MSSM_RNA_PFC_152","Control","Oligo",0.0373541467404952
"300","MSSM_RNA_PFC_152","Control","OPC",0.0531719122692261
"301","MSSM_RNA_PFC_153","Control","Astro",0.12001622449927
"302","MSSM_RNA_PFC_153","Control","Exc",0.641400278785793
"303","MSSM_RNA_PFC_153","Control","Inh",0.103987284110538
