"n","method","DE_pattern","ratio_of_sensitivity"
"100","w/ covariates","2_2_1",0.387387387387387
"100","w/ covariates","2_2_1",0.427914110429448
"100","w/ covariates","2_2_1",0.470588235294118
"100","w/ covariates","2_2_1",0.41692789968652
"100","w/ covariates","2_2_1",0.337606837606838
"100","w/ covariates","2_0.5_1",0.493203883495146
"100","w/ covariates","2_0.5_1",0.543604651162791
"100","w/ covariates","2_0.5_1",0.472491909385113
"100","w/ covariates","2_0.5_1",0.364238410596027
"100","w/ covariates","2_0.5_1",0.423444976076555
"100","w/ covariates","2_0.5_1",0.318906605922551
"100","w/ covariates","2_0.5_1",0.421875
"100","w/ covariates","2_0.5_1",0.321144674085851
"100","w/ covariates","2_0.5_1",0.495495495495495
"100","w/ covariates","2_0.5_1",0.407484407484408
"100","w/ covariates","1_2_1",0.5
"100","w/ covariates","1_2_1",0.333333333333333
"100","w/ covariates","1_2_1",0.757575757575758
"100","w/ covariates","1_2_1",0.6
"100","w/ covariates","1_2_1",0.388888888888889
"100","w/ covariates","1_2_1",0
"100","w/ covariates","1_2_1",0.208333333333333
"100","w/ covariates","1_2_1",1.05263157894737
"100","w/ covariates","1_2_1",0.787878787878788
"100","w/ covariates","1_2_1",0.62962962962963
"100","w/ covariates","3_1_1",0.488326848249027
"100","w/ covariates","3_1_1",0.470352564102564
"100","w/ covariates","3_1_1",0.487300094073377
"100","w/ covariates","3_1_1",0.494117647058824
"100","w/ covariates","3_1_1",0.520833333333333
"100","w/ covariates","3_1_1",0.564757709251101
"100","w/ covariates","3_1_1",0.470414201183432
"100","w/ covariates","3_1_1",0.491943127962085
"100","w/ covariates","3_1_1",0.484635645302897
"100","w/ covariates","3_1_1",0.546732837055418
"100","w/ covariates","3_3_1",0.527993779160187
"100","w/ covariates","3_3_1",0.539865513928915
"100","w/ covariates","3_3_1",0.488394584139265
"100","w/ covariates","3_3_1",0.472027972027972
"100","w/ covariates","3_3_1",0.550684931506849
"100","w/ covariates","3_3_1",0.492466296590008
"100","w/ covariates","3_3_1",0.468416735028712
"100","w/ covariates","3_3_1",0.570556826849733
"100","w/ covariates","3_3_1",0.617621145374449
"100","w/ covariates","3_3_1",0.483071841453344
"100","w/ covariates","3_0.333_1",0.538083538083538
"100","w/ covariates","3_0.333_1",0.602327837051406
"100","w/ covariates","3_0.333_1",0.471830985915493
"100","w/ covariates","3_0.333_1",0.421626984126984
"100","w/ covariates","3_0.333_1",0.552074513124471
"100","w/ covariates","3_0.333_1",0.483064516129032
"100","w/ covariates","3_0.333_1",0.492130115424974
"100","w/ covariates","3_0.333_1",0.514505119453925
"100","w/ covariates","3_0.333_1",0.541876046901173
"100","w/ covariates","3_0.333_1",0.49623352165725
"100","w/ covariates","1_3_1",0.725888324873096
"100","w/ covariates","1_3_1",0.634615384615385
"100","w/ covariates","1_3_1",0.848739495798319
"100","w/ covariates","1_3_1",0.66304347826087
"100","w/ covariates","1_3_1",0.805825242718447
"100","w/ covariates","1_3_1",0.738888888888889
"100","w/ covariates","1_3_1",0.453488372093023
"100","w/ covariates","1_3_1",0.556338028169014
"100","w/ covariates","1_3_1",0.821192052980132
"100","w/ covariates","1_3_1",0.409090909090909
"100","w/ covariates","4_1_1",0.577086280056577
"100","w/ covariates","4_1_1",0.555272108843538
"100","w/ covariates","4_1_1",0.732592592592593
"100","w/ covariates","4_1_1",0.56633813495072
"100","w/ covariates","4_1_1",0.446120689655172
"100","w/ covariates","4_1_1",0.552321007081039
"100","w/ covariates","4_1_1",0.570218772053634
"100","w/ covariates","4_1_1",0.633396107972379
"100","w/ covariates","4_1_1",0.612175102599179
"100","w/ covariates","4_1_1",0.655193992490613
"100","w/ covariates","4_4_1",0.506130790190736
"100","w/ covariates","4_4_1",0.493170381020848
"100","w/ covariates","4_4_1",0.5875
"100","w/ covariates","4_4_1",0.656649616368286
"100","w/ covariates","4_4_1",0.543624161073825
