baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000002549.8	787.635930472691	-0.0462254946207707	0.107601245047679	-0.429599997660693	0.667486638790353	0.970074855411671
ENSG00000002586.13	133.962649726789	-0.0716928944046789	0.157550223792032	-0.455047874126249	0.649074797397207	0.970074855411671
ENSG00000002587.5	201.341005020681	0.0356696823626969	0.0922533107455039	0.386649347047259	0.699015820151531	0.971003382053169
ENSG00000002745.8	43.8464242610022	-0.154271788916997	0.126978909903928	-1.21494025294215	0.224388879799126	0.956653910182263
ENSG00000002746.10	3292.55189014062	0.114531670483759	0.0691087468826024	1.6572673597789	0.0974654332905335	0.956653910182263
ENSG00000002822.11	524.165004560927	-0.031485633390358	0.0468134819485356	-0.672576191298303	0.501216952810755	0.960946641515532
ENSG00000002834.13	2098.10551576599	0.0437297444402371	0.0558330035987026	0.783223928888777	0.433495625438717	0.957937729136279
ENSG00000002919.10	296.587323026978	-0.0527446025249347	0.0439364011297876	-1.20047616938692	0.229954462365902	0.956653910182263
ENSG00000002933.3	61.847405805023	-0.332824602297787	0.169088274209278	-1.96834821251919	0.049027986175884	0.956653910182263
ENSG00000003056.3	1336.34630319213	-0.0162102730510774	0.043028718062686	-0.376731489594034	0.706373158822095	0.972069349587287
ENSG00000003096.9	196.662217339886	-0.0244779738643027	0.0750232609619545	-0.326271792913879	0.74421872752929	0.975515916840668
ENSG00000003137.4	588.821055388145	0.164260854656888	0.128443646953304	1.278855424563	0.200947972136591	0.956653910182263
ENSG00000003147.13	1009.93959090949	0.0854060406007057	0.0656778721231522	1.30037770469423	0.193471547507639	0.956653910182263
ENSG00000003249.9	766.780514622841	0.104516913346274	0.0864182586207716	1.20943091210533	0.226497338661049	0.956653910182263
ENSG00000003393.10	1919.86575083398	0.059544308166886	0.0468036099045356	1.27221614504388	0.203296332768356	0.956653910182263
ENSG00000003400.10	83.7089877665892	-0.113371479184226	0.12893960497421	-0.879260326622703	0.379260141693684	0.956653910182263
ENSG00000003402.15	1217.49272500805	-0.0731064931746503	0.0801854421287621	-0.911717778611929	0.361917302555595	0.956653910182263
ENSG00000003436.10	77.8878057044196	-0.0721996246651487	0.1289057544514	-0.560096211161537	0.575413814643076	0.965818116482281
ENSG00000003509.11	439.156794184358	0.0535968008441035	0.04727511963929	1.1337211043155	0.256911554168865	0.956653910182263
ENSG00000003756.12	2709.3451540536	0.0142755851689708	0.03489740380678	0.409072985715839	0.682486100374381	0.970367135586048
ENSG00000003987.9	1375.5693865875	0.0737541818171306	0.0767482030165855	0.960989038416863	0.336557679409961	0.956653910182263
ENSG00000003989.12	543.099630048355	-0.244948996018322	0.163018346615444	-1.50258545190714	0.132945977227575	0.956653910182263
ENSG00000004059.6	1715.07444075281	0.0615082933749513	0.0677939477773061	0.90728295654057	0.364257184652563	0.956653910182263
ENSG00000004139.9	648.271395352313	0.0492968547889591	0.0587496876096991	0.839099862393492	0.401413273318844	0.956653910182263
ENSG00000004142.7	1202.64766657201	-0.0295527572038711	0.0345328752526949	-0.855786174409698	0.392116063957565	0.956653910182263
ENSG00000004399.8	1691.34947442199	-0.0493170973414889	0.0746130129650118	-0.660971798104643	0.50863039971923	0.960946641515532
ENSG00000004455.12	599.896140189377	-0.0228448759252657	0.0579771828095321	-0.394032183321432	0.693557278542028	0.970612100240535
ENSG00000004468.8	205.513361839331	0.1570402135989	0.165796886329679	0.947184335456298	0.343544856047791	0.956653910182263
ENSG00000004478.5	2392.80373426912	0.0958972613609488	0.113528334735366	0.844698916657985	0.398278964497642	0.956653910182263
ENSG00000004487.11	1585.09498982174	-0.000597853594637598	0.0363201162988004	-0.0164606740165462	0.986866875422778	0.998806878214461
ENSG00000004534.10	1690.56075408206	-0.0684022908203247	0.0714986575264726	-0.956693358822835	0.33872205116153	0.956653910182263
ENSG00000004660.10	2323.87167454034	0.104053034178348	0.0842383943062394	1.23522100623232	0.216748263418284	0.956653910182263
ENSG00000004700.11	343.120030386777	-0.00690206053993705	0.0758613091842845	-0.0909826183353937	0.927506402326233	0.994478332301294
ENSG00000004766.11	1635.87655885261	0.0532541798245791	0.0681078402690883	0.781909683439914	0.434267653727754	0.957937729136279
ENSG00000004776.7	39.5545350146574	-0.0799128827159773	0.154713830755761	-0.516520613093292	0.605490845916212	0.966859018528037
ENSG00000004777.14	620.680088455783	0.035074510483374	0.0976117205742384	0.359326833673608	0.719350602586078	0.974739519032195
ENSG00000004779.5	622.185181515313	-0.0296501427557126	0.0642757940225606	-0.46129562779583	0.644586521360058	0.970074855411671
ENSG00000004799.7	706.975062009695	0.0322435227167696	0.164393890622792	0.196135772409898	0.844503897660861	0.987389656563638
ENSG00000004838.9	39.7645215069092	0.0388977309529128	0.108519651250253	0.358439513072265	0.720014426161359	0.974739519032195
ENSG00000004848.6	146.240378775233	-0.0105633489802236	0.0702568761945654	-0.150353240172109	0.880485930755082	0.99024991030478
ENSG00000004864.9	204.477313783143	-0.138534679597089	0.105969688220607	-1.3073047767083	0.191109222583284	0.956653910182263
ENSG00000004866.14	430.387384355474	0.00360946546548465	0.042649545208257	0.0846308078517531	0.932554905800417	0.99461047295256
ENSG00000004897.7	2404.2319428838	0.0487499937228462	0.0538971975119949	0.90449960245144	0.365730545072263	0.956653910182263
