baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	qvalue
ENSG00000001629	4199.7937542135	-0.00593992774785351	0.0156857492331895	-0.378683074652576	0.704923223414808	0.894259970427253	0.658004642469466
ENSG00000001630	129.242974763598	0.0804431578281783	0.0433043761525209	1.85762190742229	0.0632227252622706	0.323589215938563	0.238099896430453
ENSG00000001631	1789.8748336598	-0.00739711207304318	0.0137689846930652	-0.537230030967262	0.591108729745496	0.838998243475992	0.61734255975605
ENSG00000002016	308.359677728189	0.0142833492679916	0.0252704013998984	0.565220513990292	0.571923785224755	0.828050475426667	0.609287092174634
ENSG00000002079	18.8659446012046	0.139807634624158	0.051504167437291	2.71449169223794	0.00663775651965487	0.111189107599182	0.0818139594880265
ENSG00000002330	144.19759870939	-0.0634293398304469	0.0332616224542504	-1.90698273716776	0.0565228229733174	0.307401783966494	0.22618903634556
ENSG00000002549	1085.82780050389	0.0650586608199676	0.0409537882161677	1.58858712841329	0.112153636062686	0.421371730791815	0.31004916269923
ENSG00000002586	222.550946814755	0.0346975331196649	0.0450112570216037	0.770863455402087	0.440787870292707	0.750930917180484	0.552541817836862
ENSG00000002587	149.494727973955	-0.0787600535693413	0.0284684514408622	-2.76657315670824	0.00566488730221845	0.103396057199134	0.0760797619260125
ENSG00000002745	51.5079947622923	0.0369823592310192	0.0415247542727005	0.890609947698895	0.373138460627845	0.702237519123221	0.516712771431056
ENSG00000002746	2046.75600866222	-0.00597912810270337	0.0210380000137229	-0.284206107938171	0.776252434931087	0.922837448092613	0.679032211180711
ENSG00000002822	450.027842442191	0.019209702245427	0.0206423762929926	0.930595488269831	0.352062849209862	0.686599775922439	0.505206377357592
ENSG00000002834	1034.79773354763	-0.00366855842774971	0.0198216390957561	-0.185078459456724	0.853167496586471	0.951673654432764	0.700250154810639
ENSG00000002919	381.344282013491	-0.00308897000756248	0.0236732535196272	-0.130483543590722	0.896183873140039	0.966486257011872	0.711149402888858
ENSG00000002933	71.3738540960335	0.161462200766225	0.0524582838947617	3.07791617983806	0.00208453538801473	0.0630761596012376	0.0464120135299466
ENSG00000003056	922.991428384037	-0.00463650236684876	0.0196356261451114	-0.236127044413254	0.813334088795574	0.937873839019239	0.690096124766129
ENSG00000003096	239.954283363444	0.0919437507368386	0.0254160551046702	3.61754608880841	0.00029740938331949	0.0238708349824153	0.0175643780975094
ENSG00000003137	240.038537671675	-0.153459394795956	0.0400645694501625	-3.83030185777607	0.000127986157511966	0.0145386679910314	0.0106976845098526
ENSG00000003147	1596.34745568589	-0.0552039560474222	0.0237585466918972	-2.32354094563576	0.0201501106831023	0.18634414108198	0.137113718587164
ENSG00000003249	370.400190776477	-0.0908307127958267	0.0362163313423402	-2.50800424640575	0.0121415208035548	0.146945130052148	0.10812356692696
ENSG00000003393	2314.51041217917	0.0160043371153916	0.013542171806804	1.181814656003	0.237279251172727	0.582546207664517	0.428642812797598
ENSG00000003400	80.6860110711404	-0.0722123612371142	0.0430513393851072	-1.67735457870783	0.0934731657487609	0.389425952690888	0.286543167806418
ENSG00000003402	601.162267118156	0.0432883158195769	0.0205991578424655	2.1014604650651	0.0356005649710708	0.2449069472916	0.180204765526857
ENSG00000003436	88.0970425762828	-0.018491594822148	0.0417184083275313	-0.443247850612384	0.657586471449222	0.873705358400271	0.642880371468662
ENSG00000003509	625.653212879915	-0.0241089240972631	0.0152295738837604	-1.58303339812882	0.113413852300905	0.423382076163271	0.311528393159197
ENSG00000003756	1884.93894180934	0.00208918736396046	0.0143288583037736	0.145802779235402	0.884077081840157	0.962098516161831	0.707920863152365
ENSG00000003987	1390.02161866819	0.00922814315719249	0.0196549017418946	0.469508485891977	0.638706220689596	0.864937711807346	0.636429057138983
ENSG00000003989	1259.07004389631	0.229996586851109	0.0653979167347352	3.51687941045605	0.00043665211027275	0.0277504978504725	0.0204190694208595
ENSG00000004059	1098.88118846223	-0.00139764556807964	0.0223307931356442	-0.0625882636407003	0.950094375352291	0.984299461838027	0.724256521467888
ENSG00000004139	145.394703038788	-0.0209953516714531	0.021599462674779	-0.972031202237674	0.331035026047993	0.670063887194321	0.493039119613447
ENSG00000004142	999.819379447224	-0.017876264475919	0.0126911422768985	-1.40856229375498	0.158964634937642	0.492918941373197	0.362694252801829
ENSG00000004399	700.605325991323	0.0377110228177709	0.0250921975536195	1.50289837058656	0.132865253272427	0.452787358201181	0.333165067877875
ENSG00000004455	769.086569527026	-0.00622612615667217	0.0170822177652425	-0.364479966374189	0.715499631019323	0.89868782823739	0.661262700631091
ENSG00000004468	96.3746950815828	-0.0712495635872158	0.0591667886585147	-1.20421549322945	0.22850629921301	0.574735504905027	0.422895626468505
ENSG00000004478	2064.4569147844	0.0888923910325597	0.0363525660261004	2.44528518203465	0.0144737643610822	0.159657804884093	0.117477669016119
ENSG00000004487	1860.62340896754	-0.00218670674767305	0.0131182904773778	-0.166691441346262	0.867612840132629	0.95676280943595	0.703994801478367
ENSG00000004534	1569.20055343699	0.0470596521722629	0.0197225961618083	2.38607796793971	0.017029140311893	0.172238462419316	0.126734631574267
ENSG00000004660	2182.71625591566	-0.0324841721050101	0.0218276876496716	-1.48820949916327	0.136695652903505	0.459290323671904	0.337950009182482
ENSG00000004700	498.122441567441	-0.0109066570577842	0.0173981163596443	-0.626887234935539	0.53073315535397	0.808506583137794	0.594906517975548
ENSG00000004766	3059.06373067993	-0.0306151759543606	0.0153242779317759	-1.99782176299988	0.0457359870400783	0.276844241536892	0.203704517921315
ENSG00000004776	16.2535106750979	-0.0694999897482043	0.0703819271275397	-0.987469263554872	0.323412643706209	0.663813392314837	0.488439948472568
ENSG00000004777	240.870652149086	0.0160458779518109	0.0279183716964825	0.574742614872216	0.565465381988246	0.824909333479892	0.606975811280952
ENSG00000004779	883.411691163203	-0.00282005726963269	0.0268887281743168	-0.104878789779515	0.916471989439069	0.974108790083821	0.716758132245629
ENSG00000004799	1477.65133136557	-0.082825824876286	0.0571100187037128	-1.45028537472535	0.146978955763716	0.475918774519647	0.350185374978475
ENSG00000004838	25.406375122774	-0.0187582651957088	0.042311761594706	-0.443334536042001	0.657523779005814	0.873705358400271	0.642880371468662
ENSG00000004848	87.9321020686055	0.000167349757837759	0.0343949521095238	0.00486553251491285	0.996117882043432	0.998611343021323	0.734787334176167
ENSG00000004864	336.399674218648	-0.011707013515852	0.0282497920900139	-0.414410607998433	0.678573421411024	0.882715357568021	0.64951001103331
ENSG00000004866	550.88680803262	0.031991280401077	0.0129308891277612	2.47402016094897	0.0133602157125543	0.153748424057078	0.113129492706228
ENSG00000004897	3193.53998653117	-0.0220568444188238	0.011286319657127	-1.95429910625431	0.0506658544990714	0.292238515468471	0.215031765085902
ENSG00000004961	348.20184080087	0.0100420171851971	0.0167635761097161	0.599037885441208	0.549147620992875	0.817507930764815	0.60152979165762
ENSG00000004975	241.444090720171	0.0144173719321056	0.0172083587920677	0.837812141547828	0.402136218603911	0.722399560347226	0.53154818525453
ENSG00000005007	1200.67322765152	0.0172840765237486	0.0212601603005301	0.812979595610935	0.416229756921763	0.731582721586244	0.538305239050567
ENSG00000005020	962.730811875708	0.0488790475506071	0.0219863628761177	2.22315295285611	0.0262054880180235	0.210205918448156	0.154671432008033
ENSG00000005022	670.91073034132	0.000903818366706547	0.0292033139382421	0.0309491713378113	0.975310075628467	0.992400678030571	0.730217470230692
