Astro	Exc	Inh	Micro	Oligo	OPC
ENSG00000004776	0.335355221448748	0.506605258134215	0.96497708171451	0.229346677653561	0.150248407243123	0.55750153200091
ENSG00000004777	0.614497974180814	0.665897415944699	0.655936482074277	0.32882131140132	0.155715194032459	0.488861231081769
ENSG00000004779	0.34085892043325	0.786359146390687	0.399292121295775	0.971930141738086	0.00676865408057625	0.871258774345654
ENSG00000004799	0.474037026123268	0.915623239060399	0.942101962962021	0.860110258865435	0.422318317203769	0.490784841998552
ENSG00000004838	0.823134153451641	0.677360785485989	0.989064923967462	0.577480180594761	0.729589614640802	0.646062118740847
ENSG00000004848	0.706710779307761	0.978834155761886	0.476270488836275	0.601897181923397	0.223294397613059	0.597612448884761
ENSG00000004864	0.277112059897786	0.510412762628149	0.749025620624043	0.598143374573607	0.0934888263394208	0.344963365003691
ENSG00000004866	0.762261470342601	0.814468591750597	0.644137760971989	0.797130512274092	0.49782347070667	0.403156912857941
ENSG00000004897	0.912602882585525	0.768021604966505	0.437413000577591	0.983689365266148	0.379024832077826	0.946645136356501
ENSG00000004961	0.587369846959826	0.162112577595947	0.878629033097606	0.870552351927423	0.123022418203523	0.785768430774263
ENSG00000004975	0.89804717048292	0.58898110077169	0.913690945575087	0.353040166952513	0.0772459810122626	0.503461515240278
ENSG00000005007	0.586648803838681	0.70145480059395	0.673019590757263	0.176181709442369	0.540140946515246	0.361679091709724
ENSG00000005020	0.323178433837211	0.303836352480386	0.0813188674955313	0.810427244050263	0.975115666456808	0.13558263762326
ENSG00000005022	0.395064454681388	0.0739054338893038	0.15910201103476	0.528553987289969	0.00840133117743175	0.149403657958818
ENSG00000005059	0.857532281426576	0.100274863894179	0.10629413789926	0.235715023893235	0.491748716194647	0.816338886035993
ENSG00000005075	0.307716657023781	0.0851732838971649	0.0747104700342394	0.201781555732587	0.603904212499787	0.100935910489907
ENSG00000005100	0.845264143045188	0.721353225238728	0.650334139592136	0.83161007781824	0.532028839199091	0.528838655800389
ENSG00000005108	0.466237676613458	0.788469455819473	0.757373034584348	0.967245347651704	0.545459821486909	0.456743151093173
ENSG00000005156	0.382734891760227	0.329930778717458	0.74107422722021	0.45818148439056	0.802278624260439	0.814903378180092
ENSG00000005175	0.651926736775552	0.979182578520669	0.438551063508101	0.682543622774255	0.473532543079741	0.3805882866459
ENSG00000005189	0.879982371250839	0.309282490413135	0.867201655910762	0.700767731557622	0.13905380469234	0.934132353694241
ENSG00000005194	0.693434341327761	0.654545752207517	0.777350065814808	0.749404889139081	0.17313440621634	0.735175424023107
ENSG00000005206	0.787317127612861	0.739979512543144	0.451284487267977	0.91439798449366	0.0870153599466324	0.534334073386427
ENSG00000005238	0.391661981441549	0.74226567091391	0.577688434390144	0.680055912225052	0.58127450534918	0.315191029462459
ENSG00000005243	0.151222279306688	0.714389699434988	0.500838824025342	0.462136084079956	0.523635022114138	0.0421300443950342
ENSG00000005249	0.674698796554961	0.924195602131338	0.420181000918403	0.642282494557806	0.678913790136486	0.495430202662352
ENSG00000005302	0.236090414564125	0.720728798244094	0.250911082826893	0.492843205508217	0.149089800779996	0.458551753941504
ENSG00000005339	0.729630177656315	0.689914357894702	0.868242137791391	0.874851063711153	0.837536976719532	0.948413552473873
ENSG00000005379	0.162269706041023	0.936287919232807	0.86005984370272	0.697116607133799	0.215183372101889	0.198706116494852
ENSG00000005381	0.327459573371946	0.802604361582887	0.762742421268526	0.111478403199301	0.410258645315766	0.933154338317796
ENSG00000005421	0.702379558839385	0.890849234120689	0.427409193805189	0.896232299601745	0.364077481946896	0.408446000574143
ENSG00000005436	0.720316725967461	0.906487730809322	0.309425309471415	0.176982611477915	0.424828757199515	0.128442711495305
ENSG00000005448	0.966953727534354	0.714333578347493	0.618150100866394	0.521706175907927	0.059037276975954	0.885253602206413
ENSG00000005469	0.260602238257153	0.549883821487328	0.780566834980241	0.446674929184809	0.138683196964285	0.148338397249822
ENSG00000005471	0.910357655894812	0.669075263666449	0.917738925148106	0.550200824688689	0.831957511772886	0.60391933589143
ENSG00000005483	0.750632197583092	0.776720909306755	0.624747926332953	0.580426745148537	0.615584683716333	0.900696594151617
ENSG00000005486	0.573897354818543	0.558104711197573	0.878032065789812	0.780288713607275	0.215087916249446	0.526142163141318
