n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,power_ct1,power_ct2,power_ct3,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3
200,4_4_1,2,1,CIBERSORTx_with_B_mode,0.5585,0.211158192090395,1724,510,431,1857,518,457,0.862,0.255,0.2155,0.0386228844206567,0.00971628449280995,0.037306804050453
200,4_4_1,2,1,CIBERSORTx_with_B_mode_without_RIN,0.5585,0.190872872147773,1724,510,431,1800,518,443,0.862,0.255,0.2155,0.0257485896137712,0.00835600466381656,0.0259371113874578
200,4_4_1,2,1,CIBERSORTx_without_B_mode,0.5785,0.20807665982204,1838,476,443,1977,479,466,0.919,0.238,0.2215,0.0412302797295506,0.00976958525345622,0.0342229199372057
200,4_4_1,2,1,CIBERSORTx_without_B_mode_without_RIN,0.5785,0.189492119089317,1838,476,441,1921,479,455,0.919,0.238,0.2215,0.0259843563568872,0.00774193548387097,0.0230769230769231
200,4_4_1,2,1,TOAST_with_RIN,0.48575,0.0549610894941635,1715,228,0,1819,237,0,0.8985,0.24,0.0305,0.038375,0.037875,0.04525
200,4_4_1,2,1,TOAST_without_RIN,0.4565,0.0414698162729659,1654,172,0,1732,173,0,0.8805,0.2085,0.033,0.03125,0.02125,0.0465
200,4_4_1,2,1,TOAST_TPM_with_RIN,0.516,0.0719424460431655,1659,405,0,1791,433,0,0.8825,0.3395,0.0545,0.046,0.048875,0.05275
200,4_4_1,2,1,TOAST_TPM_without_RIN,0.487,0.0455658990690838,1605,343,0,1684,355,2,0.864,0.306,0.056,0.036,0.034625,0.052875
200,4_4_1,2,1,csSAM,0.39575,0.0376899696048633,1310,273,0,1359,286,0,NA,NA,NA,NA,NA,NA
200,4_0.25_1,3,1,CARseq_with_RIN,0.4735,0.0801359883438563,1837,57,0,1998,61,0,0.939,0.1085,0.0405,0.05,0.042125,0.0475
200,4_0.25_1,3,1,CARseq_without_RIN,0.4355,0.117974683544304,1726,16,0,1959,16,0,0.901,0.077,0.106,0.0794147073536768,0.0236368184092046,0.135942971485743
200,4_0.25_1,3,1,CIBERSORTx_with_B_mode,0.47525,0.247128712871287,1825,76,484,1944,80,501,0.9145,0.0405,0.244,0.0412894375857339,0.0149686141960406,0.0245268443414446
200,4_0.25_1,3,1,CIBERSORTx_with_B_mode_without_RIN,0.47425,0.246923382294561,1821,76,482,1942,79,498,0.913,0.04,0.243,0.0377229080932785,0.0176243360695316,0.0231749710312862
200,4_0.25_1,3,1,CIBERSORTx_without_B_mode,0.4875,0.225883287018658,1884,66,431,2011,66,442,0.944,0.036,0.219,0.0427730542838457,0.0128921357971637,0.0197832444520901
200,4_0.25_1,3,1,CIBERSORTx_without_B_mode_without_RIN,0.4865,0.222843450479233,1880,66,431,1996,67,441,0.943,0.036,0.2175,0.0383257030739045,0.0133218736570692,0.021331498365732
200,4_0.25_1,3,1,TOAST_with_RIN,0.44375,0.0812629399585921,1750,25,0,1906,26,0,0.908,0.0915,0.046,0.050875,0.046375,0.048125
200,4_0.25_1,3,1,TOAST_without_RIN,0.416,0.101026472177202,1652,12,0,1838,13,0,0.8645,0.0675,0.11,0.071125,0.028875,0.13375
200,4_0.25_1,3,1,TOAST_TPM_with_RIN,0.438,0.0590762620837809,1711,41,0,1815,47,0,0.9,0.106,0.053,0.042125,0.052375,0.0435
200,4_0.25_1,3,1,TOAST_TPM_without_RIN,0.40925,0.055395268320831,1622,15,0,1717,16,0,0.873,0.0805,0.092,0.03825,0.031875,0.090625
200,4_0.25_1,3,1,csSAM,0.33675,0.0433238636363636,1344,3,0,1404,3,1,NA,NA,NA,NA,NA,NA
200,1_4_1,4,1,CARseq_with_RIN,0.5095,0.0659945004582951,0,1019,0,0,1091,0,0.051,0.5995,0.044,0.048375,0.04325,0.046875
200,1_4_1,4,1,CARseq_without_RIN,0.4335,0.0503833515881709,0,867,0,0,913,0,0.0335,0.559,0.041,0.0293896948474237,0.0382691345672836,0.044272136068034
200,1_4_1,4,1,CIBERSORTx_with_B_mode,0.4065,0.587937151545869,632,813,448,669,833,471,0.371,0.4105,0.2665,0.0384451089278086,0.0237825594563986,0.03271117952665
200,1_4_1,4,1,CIBERSORTx_with_B_mode_without_RIN,0.4005,0.552513966480447,549,801,408,564,813,413,0.3465,0.4095,0.2525,0.0250605154492382,0.0135900339750849,0.0227054069655571
200,1_4_1,4,1,CIBERSORTx_without_B_mode,0.4235,0.61983842010772,738,847,549,785,865,578,0.431,0.4305,0.313,0.0393533854511727,0.0153374233128834,0.0293972737723764
200,1_4_1,4,1,CIBERSORTx_without_B_mode_without_RIN,0.4205,0.584896347482725,656,841,494,672,850,504,0.4055,0.4295,0.3,0.0251755664502451,0.00894683026584867,0.0193792084086057
200,1_4_1,4,1,TOAST_with_RIN,0.4195,0.078021978021978,0,839,0,0,910,0,0.041,0.5395,0.0425,0.0395,0.05325,0.045125
200,1_4_1,4,1,TOAST_without_RIN,0.3645,0.0713375796178344,0,729,0,0,785,0,0.0295,0.4985,0.051,0.0285,0.053375,0.049625
200,1_4_1,4,1,TOAST_TPM_with_RIN,0.459,0.0783132530120482,0,918,0,0,996,0,0.0505,0.5685,0.045,0.0425,0.04925,0.047125
200,1_4_1,4,1,TOAST_TPM_without_RIN,0.389,0.0592503022974608,0,778,0,0,827,0,0.0295,0.519,0.0385,0.02725,0.0415,0.037125
200,1_4_1,4,1,csSAM,0.2485,0.0273972602739726,0,497,0,0,511,0,NA,NA,NA,NA,NA,NA
