n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,3_1_1,1,201,TOAST_TPM_without_RIN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0455,0.1035,0.0305,0.0255,0.034,0.0355,0.03925,0.028125,0.027875,0.025375,0.03025,0.035375
50,3_1_1,1,201,csSAM,0.0045,0.25,0,9,0,0,1,0,0,9,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,202,CARseq_with_RIN,0.146,0.117824773413897,0,292,0,0,0,0,0,331,0,0,0,0,0.0425,0.376,0.0335,0.0305,0.031,0.04,0.0495,0.060875,0.03725,0.03525,0.040125,0.042375
50,3_1_1,1,202,CARseq_without_RIN,0.0515,0.0283018867924528,0,103,0,0,0,0,0,106,0,0,0,0,0.028,0.2595,0.0335,0.03,0.015,0.0475,0.028,0.030875,0.0245,0.030375,0.0175,0.05
50,3_1_1,1,202,TOAST_TPM_with_RIN,0.04,0.166666666666667,0,80,2,0,0,0,0,88,8,0,0,0,0.0365,0.276,0.0705,0.054,0.0625,0.0415,0.043375,0.04275,0.066375,0.0445,0.0455,0.0435
50,3_1_1,1,202,TOAST_TPM_without_RIN,0.011,0.0434782608695652,0,22,0,0,0,0,0,23,0,0,0,0,0.0205,0.198,0.0335,0.0395,0.0215,0.06,0.022375,0.024,0.02775,0.03125,0.022625,0.05625
50,3_1_1,1,202,csSAM,0.0515,0.0373831775700935,0,103,0,0,0,0,0,107,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,203,CARseq_with_RIN,0.1305,0.0577617328519856,0,261,0,0,0,0,0,277,0,0,0,0,0.04,0.3605,0.03,0.0285,0.0325,0.036,0.0495061882735342,0.0401300162520315,0.0377547193399175,0.0378797349668709,0.0347543442930366,0.0400050006250781
50,3_1_1,1,203,CARseq_without_RIN,0.028,0,0,56,0,0,0,0,0,56,0,0,0,0,0.018,0.262,0.0185,0.019,0.028,0.0265,0.02925,0.025,0.019375,0.0255,0.03375,0.02325
50,3_1_1,1,203,TOAST_TPM_with_RIN,0.0105,0.0454545454545454,0,21,0,0,0,0,0,22,0,0,0,0,0.056,0.2345,0.037,0.0425,0.055,0.0475,0.046875,0.039625,0.043,0.0445,0.04075,0.046375
50,3_1_1,1,203,TOAST_TPM_without_RIN,0.013,0,0,26,0,0,0,0,0,26,0,0,0,0,0.0285,0.227,0.024,0.0335,0.0425,0.0355,0.02875,0.0285,0.0225,0.033625,0.040625,0.026375
50,3_1_1,1,203,csSAM,0.0155,0.03125,0,31,0,1,0,0,0,31,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,204,CARseq_with_RIN,0.061,0.024,0,122,0,0,0,0,0,125,0,0,0,0,0.045,0.284,0.036,0.035,0.0335,0.0295,0.0471308913614202,0.0370046255781973,0.0427553444180523,0.0367545943242905,0.0312539067383423,0.0317539692461558
50,3_1_1,1,204,CARseq_without_RIN,0.072,0.854398382204247,0,144,0,0,0,125,0,165,0,0,0,824,0.0185,0.2855,0.0195,0.02,0.0425,0.1635,0.026125,0.14325,0.021,0.020875,0.041625,0.196125
50,3_1_1,1,204,TOAST_TPM_with_RIN,0.019,0.116279069767442,0,38,0,0,0,0,0,43,0,0,0,0,0.072,0.214,0.044,0.055,0.0495,0.0575,0.065875,0.065875,0.04375,0.053625,0.04675,0.043125
50,3_1_1,1,204,TOAST_TPM_without_RIN,0.275,0.890786338363781,0,550,1,0,0,611,0,1956,1,0,0,3079,0.0375,0.3655,0.041,0.0285,0.0905,0.3645,0.03425,0.2675,0.03175,0.026,0.090375,0.366
50,3_1_1,1,204,csSAM,0.1265,0.77768014059754,0,253,0,1,2,121,0,580,0,1,3,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,205,CARseq_with_RIN,0.041,0.0238095238095238,0,82,0,0,0,0,0,84,0,0,0,0,0.0365,0.254,0.0445,0.0305,0.0305,0.026,0.0395049381172647,0.0361295161895237,0.0371296412051506,0.0345043130391299,0.0296287035879485,0.0302537817227153
50,3_1_1,1,205,CARseq_without_RIN,0.0035,0,0,7,0,0,0,0,0,7,0,0,0,0,0.018,0.1615,0.0355,0.0215,0.0255,0.0205,0.0212526565820728,0.0217527190898862,0.0228778597324666,0.0197524690586323,0.0280035004375547,0.0200025003125391
50,3_1_1,1,205,TOAST_TPM_with_RIN,0.0045,0.1,0,9,0,0,0,0,0,10,0,0,0,0,0.0425,0.1745,0.04,0.049,0.0345,0.052,0.04675,0.0425,0.038875,0.048,0.041875,0.059375
50,3_1_1,1,205,TOAST_TPM_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0295,0.1385,0.036,0.032,0.038,0.0345,0.027875,0.031875,0.025125,0.02875,0.038625,0.02675
